Player 1:,Child,,,,,,,,,,,,Player 1:,Child,,,,,,,,,,,,Player 1:,Child,,,,,,,,,,,
Player 2: ,Friend,,,,,,,,,,,,Player 2: ,Enemy,,,,,,,,,,,,Player 2: ,Stranger,,,,,,,,,,,
Scale Label:,Friend,,,,,,,,,,,,Scale Label:,Enemy,,,,,,,,,,,,Scale Label:,Stranger,,,,,,,,,,,
Number of Choices,12,,,,,,,,,,,,Number of Choices,12,,,,,,,,,,,,Number of Choices,12,,,,,,,,,,,
Choice #,1,2,3,4,5,6,7,8,9,10,11,12,Choice #,1,2,3,4,5,6,7,8,9,10,11,12,Choice #,1,2,3,4,5,6,7,8,9,10,11,12
ChoosePlayer1- Player1Gets,11,9,7,6,5,5,6,6,5,2,2,1,ChoosePlayer1- Player1Gets,11,9,7,6,5,5,6,6,5,2,2,1,ChoosePlayer1- Player1Gets,11,9,7,6,5,5,6,6,5,2,2,1
ChoosePlayer1- Player2Gets,0,0,0,0,0,0,0,0,0,0,0,0,ChoosePlayer1- Player2Gets,0,0,0,0,0,0,0,0,0,0,0,0,ChoosePlayer1- Player2Gets,0,0,0,0,0,0,0,0,0,0,0,0
ChoosePlayer2- Player1Gets,0,0,0,0,0,0,0,0,0,0,0,0,ChoosePlayer2- Player1Gets,0,0,0,0,0,0,0,0,0,0,0,0,ChoosePlayer2- Player1Gets,0,0,0,0,0,0,0,0,0,0,0,0
ChoosePlayer2- Player2Gets,5,5,5,5,5,7,10,12,15,10,13,10,ChoosePlayer2- Player2Gets,5,5,5,5,5,7,10,12,15,10,13,10,ChoosePlayer2- Player2Gets,5,5,5,5,5,7,10,12,15,10,13,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4004,1,1,1,1,1,1,,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,2,1,1,1,1,1,1
7001,2,1,2,2,1,2,1,2,1,1,1,1,,2,2,1,1,1,1,1,1,1,1,2,1,,2,2,1,1,2,1,1,2,2,2,1,1
7002,1,1,1,2,2,1,2,1,1,1,1,1,,1,1,1,1,2,2,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
7003,1,1,1,1,1,1,2,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
7005,2,2,1,2,2,1,2,1,1,1,1,1,,2,1,2,2,2,2,1,1,1,1,1,1,,2,1,2,2,2,1,1,1,1,1,1,1
